,si,sj,ei,ej,rij
0,0.339967,0.325,0.359824,0.71128,1.0914670906628379
1,0.339967,0.325,0.359824,0.71128,1.0940248671762443
2,0.339967,0.325,0.359824,0.71128,1.1045202623763848
3,0.339967,0.325,0.359824,0.71128,1.093418154230119
4,0.339967,0.325,0.359824,0.71128,0.9797991273725435
5,0.339967,0.325,0.359824,0.71128,0.9815678937292102
6,0.339967,0.325,0.359824,0.71128,0.9257094684618914
7,0.339967,0.325,0.359824,0.71128,1.125295636710638
8,0.339967,0.325,0.359824,0.71128,1.012096126857523
9,0.339967,0.325,0.359824,0.71128,0.8855665418250616
10,0.339967,0.325,0.359824,0.71128,0.9360899636252912
11,0.339967,0.325,0.359824,0.71128,0.8293784962247326
12,0.339967,0.325,0.359824,0.71128,0.9254469352696566
13,0.339967,0.325,0.359824,0.71128,1.0012456541728412
14,0.339967,0.325,0.359824,0.71128,1.009672669730145
15,0.339967,0.325,0.359824,0.71128,1.1106808407458912
16,0.339967,0.325,0.359824,0.71128,1.0977402516078194
17,0.339967,0.325,0.359824,0.71128,1.0849179277714973
18,0.339967,0.325,0.359824,0.71128,1.0364602259614208
19,0.339967,0.325,0.359824,0.71128,1.0167658727553752
20,0.339967,0.325,0.359824,0.71128,1.044393690137967
21,0.339967,0.325,0.359824,0.71128,0.9496082981945765
22,0.339967,0.325,0.359824,0.71128,1.0946633683466347
23,0.339967,0.325,0.359824,0.71128,0.9207611253740028
24,0.339967,0.325,0.359824,0.71128,1.0540233204251221
25,0.339967,0.325,0.359824,0.71128,1.1150323672432112
26,0.339967,0.325,0.359824,0.71128,1.057350991865993
27,0.339967,0.325,0.359824,0.71128,1.1168018266460709
28,0.339967,0.325,0.359824,0.71128,0.9928629865192886
29,0.339967,0.325,0.359824,0.71128,0.8867844495704694
30,0.339967,0.325,0.359824,0.71128,1.0480077337500904
31,0.339967,0.325,0.359824,0.71128,1.113749666666617
32,0.339967,0.325,0.359824,0.71128,1.032239182554122
33,0.339967,0.325,0.359824,0.71128,0.9575561863410418
34,0.339967,0.325,0.359824,0.71128,1.1058759333668517
35,0.339967,0.325,0.359824,0.71128,1.0190110156421273
36,0.339967,0.325,0.359824,0.71128,0.9305293654689245
37,0.339967,0.325,0.359824,0.71128,0.8875870323523211
38,0.339967,0.325,0.359824,0.71128,0.774503027753927
39,0.339967,0.325,0.359824,0.71128,1.021289410500276
40,0.339967,0.325,0.359824,0.71128,1.0551631674769544
41,0.339967,0.325,0.359824,0.71128,0.9267160352556766
42,0.339967,0.325,0.359824,0.71128,0.8462945645577554
43,0.339967,0.325,0.359824,0.71128,0.8521648256059385
44,0.339967,0.325,0.359824,0.71128,0.9854248474642807
45,0.339967,0.325,0.359824,0.71128,1.1173447901162834
46,0.339967,0.325,0.359824,0.71128,1.1240853437350742
47,0.339967,0.325,0.359824,0.71128,1.1101316858823567
48,0.339967,0.325,0.359824,0.71128,0.9022949296100476
49,0.339967,0.325,0.359824,0.71128,0.8698723239648447
50,0.339967,0.325,0.359824,0.71128,0.7396602057701904
51,0.339967,0.325,0.359824,0.71128,1.1129552416876438
52,0.339967,0.325,0.359824,0.71128,0.9896695104932759
53,0.339967,0.325,0.359824,0.71128,0.9898562168315153
54,0.339967,0.325,0.359824,0.71128,0.8933351722617885
55,0.339967,0.325,0.359824,0.71128,0.8231593102188657
56,0.339967,0.325,0.359824,0.71128,1.0894887837880665
57,0.339967,0.325,0.359824,0.71128,0.9819711197382536
58,0.339967,0.325,0.359824,0.71128,1.080445944969021
59,0.339967,0.325,0.359824,0.71128,0.9068657563278041
60,0.339967,0.325,0.359824,0.71128,0.8428193044775372
61,0.339967,0.325,0.359824,0.71128,0.6898014641909656
62,0.339967,0.325,0.359824,0.71128,0.6347730381797891
63,0.339967,0.325,0.359824,0.71128,0.8897350616897143
64,0.339967,0.325,0.359824,0.71128,1.0390690544906054
65,0.339967,0.325,0.359824,0.71128,1.1005072739423396
66,0.339967,0.325,0.359824,0.71128,1.0770845602829895
67,0.339967,0.325,0.359824,0.71128,0.8927214683203264
68,0.339967,0.325,0.359824,0.71128,0.8533090237422787
69,0.339967,0.325,0.359824,0.71128,0.9777859121505077
70,0.339967,0.325,0.359824,0.71128,0.8700053103286215
71,0.339967,0.325,0.359824,0.71128,1.0934456913811492
72,0.339967,0.325,0.359824,0.71128,1.0505238502766139
73,0.339967,0.325,0.359824,0.71128,1.1085117726032498
74,0.339967,0.325,0.359824,0.71128,1.0131573816540052
75,0.339967,0.325,0.359824,0.71128,1.0843770976924956
76,0.339967,0.325,0.359824,0.71128,0.6440488801325567
77,0.339967,0.325,0.359824,0.71128,0.5071258916679371
78,0.339967,0.325,0.359824,0.71128,0.4349646077556194
79,0.339967,0.325,0.359824,0.71128,0.3423483751969616
80,0.339967,0.325,0.359824,0.71128,0.5459562345096911
81,0.339967,0.325,0.359824,0.71128,0.6320476168770833
82,0.339967,0.325,0.359824,0.71128,0.6799563588937176
83,0.339967,0.325,0.359824,0.71128,0.596036332785175
84,0.339967,0.325,0.359824,0.71128,0.46667256186752576
85,0.339967,0.325,0.359824,0.71128,0.46714024660694825
86,0.339967,0.325,0.359824,0.71128,0.6228364873704823
87,0.339967,0.325,0.359824,0.71128,0.7242320139292383
88,0.339967,0.325,0.359824,0.71128,0.6067077797424397
89,0.339967,0.325,0.359824,0.71128,0.7534749896313749
90,0.339967,0.325,0.359824,0.71128,0.7403716431630806
91,0.339967,0.325,0.359824,0.71128,0.6938495658282136
92,0.339967,0.325,0.359824,0.71128,0.5680551117629353
93,0.339967,0.325,0.359824,0.71128,0.5312404634438173
94,0.339967,0.325,0.359824,0.71128,0.7205722725722944
95,0.339967,0.325,0.359824,0.71128,0.521318568631504
96,0.339967,0.325,0.359824,0.71128,0.5351819223404317
97,0.339967,0.325,0.359824,0.71128,0.5626788249081348
98,0.339967,0.325,0.359824,0.71128,0.5471812953674488
99,0.339967,0.325,0.359824,0.71128,0.66915066315442
100,0.339967,0.325,0.359824,0.71128,0.7857259191346555
101,0.339967,0.325,0.359824,0.71128,0.6646330115183864
102,0.339967,0.325,0.359824,0.71128,0.4655910007721368
103,0.339967,0.325,0.359824,0.71128,0.7137866908257676
104,0.339967,0.325,0.359824,0.71128,0.7794828349617451
105,0.339967,0.325,0.359824,0.71128,0.810827367569694
106,0.339967,0.325,0.359824,0.71128,0.8738419822828378
107,0.339967,0.325,0.359824,0.71128,0.7567325683489508
108,0.339967,0.325,0.359824,0.71128,0.6058126690652813
109,0.339967,0.325,0.359824,0.71128,0.6442886542536655
110,0.339967,0.325,0.359824,0.71128,0.715729068852174
111,0.339967,0.325,0.359824,0.71128,0.641313293172688
112,0.339967,0.325,0.359824,0.71128,0.6708224280687103
113,0.339967,0.325,0.359824,0.71128,0.8291767362872632
114,0.339967,0.325,0.359824,0.71128,0.9223793145989339
115,0.339967,0.325,0.359824,0.71128,1.018645954196059
116,0.339967,0.325,0.359824,0.71128,0.9287991386731574
117,0.339967,0.325,0.359824,0.71128,0.7703050045274268
118,0.339967,0.325,0.359824,0.71128,0.797345483463724
119,0.339967,0.325,0.359824,0.71128,0.8959910937057353
120,0.339967,0.325,0.359824,0.71128,1.0936096744268484
121,0.339967,0.325,0.359824,0.71128,1.0264989283969068
122,0.339967,0.325,0.359824,0.71128,0.6807812350527881
123,0.339967,0.325,0.359824,0.71128,0.5706924653436376
124,0.339967,0.325,0.359824,0.71128,0.5362099775274598
125,0.339967,0.325,0.359824,0.71128,0.45307523657776616
126,0.339967,0.325,0.359824,0.71128,0.5167423632720647
127,0.339967,0.325,0.359824,0.71128,0.5129887620601448
128,0.339967,0.325,0.359824,0.71128,0.5318709899966345
129,0.339967,0.325,0.359824,0.71128,0.6677821051810237
130,0.339967,0.325,0.359824,0.71128,0.5634726346505217
131,0.339967,0.325,0.359824,0.71128,0.631478621965937
132,0.339967,0.325,0.359824,0.71128,0.42528215339936337
133,0.339967,0.325,0.359824,0.71128,0.6060553357573877
