,si,sj,ei,ej,rij
0,0.339967,0.325,0.359824,0.71128,1.1130213430118936
1,0.339967,0.325,0.359824,0.71128,1.1179657373998537
2,0.339967,0.325,0.359824,0.71128,1.1130441994817626
3,0.339967,0.325,0.359824,0.71128,1.0893938589876482
4,0.339967,0.325,0.359824,0.71128,1.015502639090612
5,0.339967,0.325,0.359824,0.71128,1.0333058259779617
6,0.339967,0.325,0.359824,0.71128,0.9914786734973158
7,0.339967,0.325,0.359824,0.71128,1.0506060393886945
8,0.339967,0.325,0.359824,0.71128,0.9150099999453547
9,0.339967,0.325,0.359824,0.71128,0.98579376139231
10,0.339967,0.325,0.359824,0.71128,0.9002008387021191
11,0.339967,0.325,0.359824,0.71128,0.987165300241049
12,0.339967,0.325,0.359824,0.71128,1.0750889079513382
13,0.339967,0.325,0.359824,0.71128,1.0327648619119447
14,0.339967,0.325,0.359824,0.71128,1.1073552411037753
15,0.339967,0.325,0.359824,0.71128,1.107720262521183
16,0.339967,0.325,0.359824,0.71128,1.0683780651061683
17,0.339967,0.325,0.359824,0.71128,1.0204698231697005
18,0.339967,0.325,0.359824,0.71128,0.9832006000811839
19,0.339967,0.325,0.359824,0.71128,1.0122858687149594
20,0.339967,0.325,0.359824,0.71128,0.9428161750839871
21,0.339967,0.325,0.359824,0.71128,1.053154029570224
22,0.339967,0.325,0.359824,0.71128,0.8820612507076819
23,0.339967,0.325,0.359824,0.71128,1.0115924772357692
24,0.339967,0.325,0.359824,0.71128,1.088264921790645
25,0.339967,0.325,0.359824,0.71128,1.058748270364584
26,0.339967,0.325,0.359824,0.71128,1.0526200169101863
27,0.339967,0.325,0.359824,0.71128,0.9369689909490073
28,0.339967,0.325,0.359824,0.71128,0.83294181069268
29,0.339967,0.325,0.359824,0.71128,1.0674708473771086
30,0.339967,0.325,0.359824,0.71128,0.9607004371811229
31,0.339967,0.325,0.359824,0.71128,1.0399768555116997
32,0.339967,0.325,0.359824,0.71128,1.0666559192166902
33,0.339967,0.325,0.359824,0.71128,1.0481593104103977
34,0.339967,0.325,0.359824,0.71128,1.073908399259453
35,0.339967,0.325,0.359824,0.71128,0.9472117028415569
36,0.339967,0.325,0.359824,0.71128,0.8707790132978631
37,0.339967,0.325,0.359824,0.71128,1.0023748001620976
38,0.339967,0.325,0.359824,0.71128,1.06265299133819
39,0.339967,0.325,0.359824,0.71128,0.9701465301695409
40,0.339967,0.325,0.359824,0.71128,0.8938936513926026
41,0.339967,0.325,0.359824,0.71128,0.8663335500833383
42,0.339967,0.325,0.359824,0.71128,0.7620615198263196
43,0.339967,0.325,0.359824,0.71128,0.9928863479774517
44,0.339967,0.325,0.359824,0.71128,1.0161652277065967
45,0.339967,0.325,0.359824,0.71128,0.8824455167317699
46,0.339967,0.325,0.359824,0.71128,0.8258389491904583
47,0.339967,0.325,0.359824,0.71128,0.8087321249956626
48,0.339967,0.325,0.359824,0.71128,0.9698536126653344
49,0.339967,0.325,0.359824,0.71128,1.090132845115677
50,0.339967,0.325,0.359824,0.71128,1.0919091903633746
51,0.339967,0.325,0.359824,0.71128,1.0607481982072855
52,0.339967,0.325,0.359824,0.71128,0.888302122028311
53,0.339967,0.325,0.359824,0.71128,0.8578520268671048
54,0.339967,0.325,0.359824,0.71128,0.7197631554893598
55,0.339967,0.325,0.359824,0.71128,1.0621995151571109
56,0.339967,0.325,0.359824,0.71128,0.9730154675029581
57,0.339967,0.325,0.359824,0.71128,0.9865820340954925
58,0.339967,0.325,0.359824,0.71128,0.8887083267304291
59,0.339967,0.325,0.359824,0.71128,0.8338560127504021
60,0.339967,0.325,0.359824,0.71128,1.0844419993711052
