,phi,psi,prob
36,-176.99911583333335,39.001975833333304,2.6328260755094518e-05
37,-176.99911583333335,45.00188749999998,6.5820651887736295e-06
38,-176.99911583333335,51.00179916666664,6.5820651887736295e-06
39,-176.99911583333335,57.001710833333306,1e-12
40,-176.99911583333335,63.00162249999997,1e-12
41,-176.99911583333335,69.00153416666663,1.3164130377547259e-05
42,-176.99911583333335,75.0014458333333,6.5820651887736295e-06
43,-176.99911583333335,81.00135749999998,2.6328260755094518e-05
44,-176.99911583333335,87.00126916666665,1e-12
45,-176.99911583333335,93.00118083333331,1.3164130377547259e-05
46,-176.99911583333335,99.00109249999997,1.3164130377547259e-05
47,-176.99911583333335,105.00100416666663,6.5820651887736295e-06
48,-176.99911583333335,111.0009158333333,1.3164130377547259e-05
49,-176.99911583333335,117.00082749999996,4.607445632141541e-05
50,-176.99911583333335,123.00073916666662,3.949239113264178e-05
51,-176.99911583333335,129.00065083333328,5.9238586698962664e-05
52,-176.99911583333335,135.00056249999994,9.214891264283081e-05
53,-176.99911583333335,141.0004741666666,0.00017113369490811436
54,-176.99911583333335,147.00038583333327,0.00013822336896424624
55,-176.99911583333335,153.00029749999996,0.00016455162971934075
56,-176.99911583333335,159.00020916666665,0.00018429782528566163
57,-176.99911583333335,165.0001208333333,0.00018429782528566163
58,-176.99911583333335,171.00003249999997,0.0002961929334948133
59,-176.99911583333335,176.99994416666664,0.00033568532462745513
60,-170.9991475,-176.99484416666667,0.00021720815122952978
61,-170.9991475,-170.9949325,0.00014480543415301984
62,-170.9991475,-164.99502083333334,5.2656521510189036e-05
63,-170.9991475,-158.99510916666668,5.9238586698962664e-05
64,-170.9991475,-152.99519750000002,4.607445632141541e-05
65,-170.9991475,-146.99528583333333,3.949239113264178e-05
66,-170.9991475,-140.99537416666666,5.2656521510189036e-05
67,-170.9991475,-134.9954625,1.3164130377547259e-05
68,-170.9991475,-128.99555083333334,1.3164130377547259e-05
69,-170.9991475,-122.99563916666668,6.5820651887736295e-06
70,-170.9991475,-116.99572750000002,6.5820651887736295e-06
71,-170.9991475,-110.99581583333334,2.6328260755094518e-05
72,-170.9991475,-104.99590416666668,6.5820651887736295e-06
73,-170.9991475,-98.9959925,1e-12
74,-170.9991475,-92.99608083333334,1e-12
75,-170.9991475,-86.99616916666668,1e-12
76,-170.9991475,-80.99625750000001,6.5820651887736295e-06
77,-170.9991475,-74.99634583333335,1e-12
78,-170.9991475,-68.99643416666669,1.974619556632089e-05
79,-170.9991475,-62.99652250000001,3.291032594386815e-05
80,-170.9991475,-56.99661083333335,1.974619556632089e-05
81,-170.9991475,-50.99669916666668,4.607445632141541e-05
82,-170.9991475,-44.99678750000001,1.974619556632089e-05
83,-170.9991475,-38.99687583333335,1.3164130377547259e-05
84,-170.9991475,-32.996964166666686,1.974619556632089e-05
85,-170.9991475,-26.997052500000024,3.949239113264178e-05
86,-170.9991475,-20.99714083333336,3.949239113264178e-05
87,-170.9991475,-14.997229166666685,4.607445632141541e-05
88,-170.9991475,-8.997317500000008,2.6328260755094518e-05
89,-170.9991475,-2.997405833333346,1e-12
90,-170.9991475,3.0025058333333163,2.6328260755094518e-05
91,-170.9991475,9.002417499999979,2.6328260755094518e-05
92,-170.9991475,15.002329166666641,6.5820651887736295e-06
93,-170.9991475,21.002240833333303,6.5820651887736295e-06
94,-170.9991475,27.002152499999966,2.6328260755094518e-05
95,-170.9991475,33.00206416666663,6.5820651887736295e-06
96,-170.9991475,39.001975833333304,6.5820651887736295e-06
97,-170.9991475,45.00188749999998,1.3164130377547259e-05
98,-170.9991475,51.00179916666664,1e-12
99,-170.9991475,57.001710833333306,1e-12
100,-170.9991475,63.00162249999997,6.5820651887736295e-06
101,-170.9991475,69.00153416666663,1.3164130377547259e-05
102,-170.9991475,75.0014458333333,1.974619556632089e-05
103,-170.9991475,81.00135749999998,1.3164130377547259e-05
104,-170.9991475,87.00126916666665,5.2656521510189036e-05
105,-170.9991475,93.00118083333331,4.607445632141541e-05
106,-170.9991475,99.00109249999997,3.949239113264178e-05
107,-170.9991475,105.00100416666663,5.2656521510189036e-05
108,-170.9991475,111.0009158333333,3.291032594386815e-05
109,-170.9991475,117.00082749999996,5.9238586698962664e-05
110,-170.9991475,123.00073916666662,8.556684745405718e-05
111,-170.9991475,129.00065083333328,6.58206518877363e-05
112,-170.9991475,135.00056249999994,0.0002435364119846243
113,-170.9991475,141.0004741666666,0.00021720815122952978
114,-170.9991475,147.00038583333327,0.00021062608604075614
115,-170.9991475,153.00029749999996,0.0004212521720815123
116,-170.9991475,159.00020916666665,0.0006779527144436839
117,-170.9991475,165.0001208333333,0.00041467010689273865
118,-170.9991475,171.00003249999997,0.0002896108683060397
119,-170.9991475,176.99994416666664,0.00018429782528566163
120,-164.99917916666666,-176.99484416666667,0.00030277499868358696
121,-164.99917916666666,-170.9949325,0.00025670054236217156
122,-164.99917916666666,-164.99502083333334,9.873097783160445e-05
123,-164.99917916666666,-158.99510916666668,4.607445632141541e-05
124,-164.99917916666666,-152.99519750000002,3.291032594386815e-05
125,-164.99917916666666,-146.99528583333333,1.974619556632089e-05
126,-164.99917916666666,-140.99537416666666,1.974619556632089e-05
127,-164.99917916666666,-134.9954625,1.3164130377547259e-05
128,-164.99917916666666,-128.99555083333334,6.5820651887736295e-06
129,-164.99917916666666,-122.99563916666668,6.5820651887736295e-06
130,-164.99917916666666,-116.99572750000002,6.5820651887736295e-06
131,-164.99917916666666,-110.99581583333334,1e-12
132,-164.99917916666666,-104.99590416666668,1e-12
133,-164.99917916666666,-98.9959925,6.5820651887736295e-06
134,-164.99917916666666,-92.99608083333334,1e-12
135,-164.99917916666666,-86.99616916666668,1.974619556632089e-05
136,-164.99917916666666,-80.99625750000001,1e-12
137,-164.99917916666666,-74.99634583333335,1.3164130377547259e-05
138,-164.99917916666666,-68.99643416666669,1e-12
139,-164.99917916666666,-62.99652250000001,1.974619556632089e-05
140,-164.99917916666666,-56.99661083333335,1.974619556632089e-05
141,-164.99917916666666,-50.99669916666668,3.291032594386815e-05
142,-164.99917916666666,-44.99678750000001,6.5820651887736295e-06
143,-164.99917916666666,-38.99687583333335,1.974619556632089e-05
144,-164.99917916666666,-32.996964166666686,1.974619556632089e-05
145,-164.99917916666666,-26.997052500000024,1e-12
146,-164.99917916666666,-20.99714083333336,1.3164130377547259e-05
147,-164.99917916666666,-14.997229166666685,7.240271707650992e-05
148,-164.99917916666666,-8.997317500000008,4.607445632141541e-05
149,-164.99917916666666,-2.997405833333346,5.9238586698962664e-05
150,-164.99917916666666,3.0025058333333163,1e-12
151,-164.99917916666666,9.002417499999979,2.6328260755094518e-05
152,-164.99917916666666,15.002329166666641,1.974619556632089e-05
153,-164.99917916666666,21.002240833333303,6.5820651887736295e-06
154,-164.99917916666666,27.002152499999966,1.974619556632089e-05
155,-164.99917916666666,33.00206416666663,1.974619556632089e-05
156,-164.99917916666666,39.001975833333304,2.6328260755094518e-05
157,-164.99917916666666,45.00188749999998,2.6328260755094518e-05
158,-164.99917916666666,51.00179916666664,2.6328260755094518e-05
159,-164.99917916666666,57.001710833333306,3.291032594386815e-05
160,-164.99917916666666,63.00162249999997,1.974619556632089e-05
161,-164.99917916666666,69.00153416666663,3.291032594386815e-05
162,-164.99917916666666,75.0014458333333,4.607445632141541e-05
163,-164.99917916666666,81.00135749999998,2.6328260755094518e-05
164,-164.99917916666666,87.00126916666665,2.6328260755094518e-05
165,-164.99917916666666,93.00118083333331,5.9238586698962664e-05
166,-164.99917916666666,99.00109249999997,9.214891264283081e-05
167,-164.99917916666666,105.00100416666663,7.240271707650992e-05
168,-164.99917916666666,111.0009158333333,0.00012505923858669896
169,-164.99917916666666,117.00082749999996,0.0001316413037754726
170,-164.99917916666666,123.00073916666662,0.00014480543415301984
171,-164.99917916666666,129.00065083333328,0.00023037228160707705
172,-164.99917916666666,135.00056249999994,0.0003291032594386815
173,-164.99917916666666,141.0004741666666,0.0005068190195355695
174,-164.99917916666666,147.00038583333327,0.0005726396714233057
175,-164.99917916666666,153.00029749999996,0.0010728766257701017
176,-164.99917916666666,159.00020916666665,0.0010004739086935917
177,-164.99917916666666,165.0001208333333,0.0012176820599231215
178,-164.99917916666666,171.00003249999997,0.0007174451055763256
179,-164.99917916666666,176.99994416666664,0.0003093570638723606
180,-158.99921083333334,-176.99484416666667,0.0004870728239692486
181,-158.99921083333334,-170.9949325,0.0003751777157600969
182,-158.99921083333334,-164.99502083333334,0.00015138749934179348
183,-158.99921083333334,-158.99510916666668,0.00016455162971934075
184,-158.99921083333334,-152.99519750000002,4.607445632141541e-05
185,-158.99921083333334,-146.99528583333333,7.898478226528356e-05
186,-158.99921083333334,-140.99537416666666,2.6328260755094518e-05
187,-158.99921083333334,-134.9954625,1.3164130377547259e-05
188,-158.99921083333334,-128.99555083333334,2.6328260755094518e-05
189,-158.99921083333334,-122.99563916666668,6.5820651887736295e-06
190,-158.99921083333334,-116.99572750000002,1e-12
191,-158.99921083333334,-110.99581583333334,1.974619556632089e-05
192,-158.99921083333334,-104.99590416666668,1.3164130377547259e-05
193,-158.99921083333334,-98.9959925,1.974619556632089e-05
194,-158.99921083333334,-92.99608083333334,2.6328260755094518e-05
195,-158.99921083333334,-86.99616916666668,1.3164130377547259e-05
196,-158.99921083333334,-80.99625750000001,1.3164130377547259e-05
197,-158.99921083333334,-74.99634583333335,2.6328260755094518e-05
198,-158.99921083333334,-68.99643416666669,1.3164130377547259e-05
199,-158.99921083333334,-62.99652250000001,1.3164130377547259e-05
200,-158.99921083333334,-56.99661083333335,3.949239113264178e-05
201,-158.99921083333334,-50.99669916666668,7.240271707650992e-05
